,Composite_SC_category,score
1176,0,0.031039564870456286
1255,0,0.17863078750735298
113,0,0.14007200508967957
27,1,0.8294555575306611
938,0,0.16577714914265082
404,0,0.12381709933456563
272,0,0.024198621040193834
353,0,0.13647505783145467
462,0,4.776321817243255e-06
454,0,0.11815017798063342
141,0,0.08255735200296695
496,0,0.23300118810927542
1315,0,0.07297376552261385
1356,1,0.5580621659205677
1095,0,0.22810973429700587
1265,0,0.310632928959566
958,0,0.004659734949309155
610,1,0.09614782594916949
1342,0,4.190140505341906e-06
675,0,0.3056641854686851
436,0,0.061766108252890486
915,1,0.9643743075467031
213,0,0.0009284968111425232
1214,0,0.2153997521191655
206,1,0.8934166040681367
255,0,0.1590612767000697
1138,0,0.18836617039444112
879,1,0.4327187570336454
868,1,0.9234497471469857
719,1,0.7193533066002262
1290,0,0.11365404274217127
885,0,0.1690411357020679
1086,1,0.4307040661641387
472,0,0.7994160665747692
747,0,0.056383974136030184
745,0,0.21267198940874874
914,0,0.11476525700714575
722,0,0.21478221378845413
595,0,0.0053212313050854596
589,0,0.05077934441924931
731,0,0.9128405540349189
503,1,0.972671586010208
742,0,0.01670013863818744
1154,0,0.2871215884719687
390,0,0.02158289770172582
559,0,0.00012349770714170348
1065,0,0.22240364845473856
1288,0,0.010991081853277747
669,0,0.42568539116810034
646,0,0.2134883892894901
1366,0,0.03109676556314026
140,0,0.0001221527807441473
538,0,0.011253557907082155
1253,0,0.1463003824547889
970,0,0.2453741382506476
400,0,0.23321080061259755
562,0,0.12669289749975174
306,0,0.0004263491822906428
807,1,0.4130638147131894
664,1,0.3002327531986894
446,0,0.18163762369568007
1114,1,0.29321389984413837
440,0,0.2428853839822926
572,0,0.005244687153076411
410,0,0.17300558492544707
1029,0,0.017814865697281843
275,0,0.0516670071888367
552,0,0.033451369740534385
1365,1,0.34423770719221564
260,0,0.011508978098886437
67,0,0.17320804369685355
409,0,0.009478075070864102
262,0,0.049829554142482906
614,0,0.34883869127837835
1094,1,0.3430413323806563
863,0,0.11210546438826383
518,0,3.383255438984146e-05
1245,0,0.12193141366193186
397,0,0.23597856168634793
214,0,0.10794153831635608
323,1,0.4302071214817714
1306,0,0.07493521030675519
413,0,0.07299576977956128
578,0,0.1551230925609813
1030,1,0.055726353610933824
183,1,0.08702918558232903
70,0,0.25462680231091495
441,0,0.015248080718299209
998,0,0.01017744351027934
996,0,0.03734997058419511
1144,0,0.317297557601526
268,0,0.0041817318679333556
444,0,0.27371999792266355
535,1,0.9351661813013099
253,0,0.019850858190927523
1015,0,0.05858832646178551
22,0,0.46555274741763525
1181,1,0.17151104386251523
1268,0,0.20393992734183436
11,0,0.0012424548791920204
521,1,0.16125496253114596
1350,0,0.003419647167975709
761,0,0.15344086458931
3,1,0.41926208550533234
427,0,0.0008881354680610378
918,1,0.9552825877513843
269,0,0.020806909063412853
256,0,0.02941125016452008
944,0,0.004031131721045041
786,0,0.1924167391101995
39,0,0.19591316151082988
217,0,1.1078171620285468e-07
1182,0,0.08417281057084873
1012,0,0.10175655594455381
1049,0,0.12755384695084218
615,0,0.08515359413372012
926,0,0.12723767239226638
1071,0,0.4052821831794219
1346,0,0.18411873439117463
1011,0,0.18494489875215692
1261,0,0.1908052692203321
342,0,0.0067392290621032394
1178,0,0.3605351885016417
603,0,0.1646924938359899
566,0,0.00012438071644543152
1193,0,0.43425978479536537
1123,0,0.15361957442806817
307,1,0.041339420565833354
714,0,0.2085752648642962
629,0,0.006466162195158635
448,0,0.017763726553109274
737,0,0.12930070170970187
31,0,0.1454947626584709
1183,0,0.0148563525264507
0,0,9.712265239709116e-06
335,1,0.1510934871743024
117,0,0.013199115701337747
1327,0,0.051135986914347266
55,0,0.2265874434434716
1027,1,0.6033183572054928
193,0,0.09329467588398688
592,0,0.0007586839130186532
1343,0,0.025863218084730306
767,1,0.3102076329103498
40,1,0.5920649190873891
1117,0,0.2283006448848124
522,0,0.06302428848017826
460,0,0.023136612421184515
1318,0,0.20280050532912455
1249,0,0.06308020883275649
367,1,0.3597375393842654
358,0,0.008064169859051706
729,0,0.26074835835759436
1175,1,0.27988514640173445
596,0,0.012876916850065017
1298,0,0.009940394570592221
1215,0,0.09556202027354489
1021,0,0.10436678896569873
347,0,0.03783898336123943
282,0,0.0007553060879725857
294,0,0.06670812605352879
925,0,0.08424167950292553
883,0,0.926585368060192
21,0,0.1873467669955077
1184,0,0.167536265636776
263,0,0.021205211387342156
685,0,0.19791405120235295
725,1,0.9124261547023484
676,1,0.16277856586749037
1196,0,0.16009119736483826
625,0,0.17179233751929668
1013,0,0.07424196879605396
728,1,0.070751233056155
762,0,0.3084818862003164
57,0,0.2344348765151863
525,0,0.003899834106925596
16,1,0.9053331688625981
274,0,0.0047111698283550905
223,0,0.0899821068164866
65,1,0.9489460266208908
244,0,0.875829173266498
1316,0,0.013439701843546545
1267,0,0.1953728608374158
1180,0,0.13580089784735458
1190,0,0.10342886173742719
293,0,1.910040463259773e-07
1068,0,0.15924606722316567
379,1,0.13742252637858168
924,0,0.1610916493906001
1218,0,0.09737933972241271
505,1,0.08790103905290306
901,0,0.06577077365428292
99,0,0.24425250071056415
1299,0,0.03878520494238062
370,0,0.0016516992840639984
145,0,0.007359490754784834
301,0,0.000286127788047457
888,1,0.3792964083036064
869,1,0.4262989500439004
116,1,0.9362846452877716
442,0,0.10609655172527958
270,0,0.005619342374999579
424,0,0.2529637865047499
1083,0,0.25461689008220767
1028,0,0.026494641327625634
853,0,0.35712687615167393
195,0,0.08876669477006731
1235,0,0.13099482801919704
1269,0,0.13198939730274148
71,1,0.9379299130395922
434,0,0.027612293366551
793,0,0.1341515226834329
849,1,0.6294063907237724
690,0,0.13475581825759456
792,0,0.6383467987659716
139,0,0.05196515600981241
590,0,0.0515126663337554
246,0,0.0008694005899244092
78,0,0.9426841014469953
